代码,名称,price,change,volume,turnover
300056,中创环保,13.45,2.99,141197.0,187399118.18
001228,永泰运,21.46,2.98,14227.0,30067859.96
000909,ST数源,5.21,2.96,83251.0,43331131.5
601000,唐山港,4.52,2.96,478663.0,214948503.0
000598,兴蓉环境,7.31,2.96,232291.0,169151714.56
605080,浙江自然,30.69,2.95,32304.0,98480344.0
002982,湘佳股份,17.79,2.95,44865.0,80383245.8
688111,金山办公,314.0,2.94,80218.0,2539346702.0
301035,润丰股份,48.89,2.93,10545.0,51170954.0
300300,ST峡创,2.83,2.91,172577.0,48366434.31
300796,贝斯美,10.34,2.89,62944.0,64915579.64
002648,卫星化学,20.03,2.88,264265.0,527870640.03
688669,聚石化学,15.4,2.87,18798.0,28566622.0
000698,沈阳化工,3.23,2.87,130130.0,42265616.66
688386,泛亚微透,33.8,2.86,14020.0,47796539.0
688085,三友医疗,18.72,2.86,14529.0,26990292.0
603816,顾家家居,29.28,2.85,54892.0,158540895.0
600985,淮北矿业,14.15,2.83,220041.0,308806582.0
002819,东方中科,26.17,2.83,74035.0,192448200.0
688207,格灵深瞳,14.98,2.81,86892.0,130035711.0
600717,天津港,4.76,2.81,275258.0,130460104.0
000807,云铝股份,16.48,2.81,407665.0,666858331.15
601900,南方传媒,16.12,2.81,97420.0,156863094.0
600007,中国国贸,24.96,2.8,31101.0,77610969.0
001366,播恩集团,11.43,2.79,184481.0,219688660.44
600019,宝钢股份,7.01,2.79,1214030.0,846803064.0
600018,上港集团,5.92,2.78,454507.0,268346004.0
300133,华策影视,7.55,2.72,1313205.0,985174821.89
300911,亿田智能,28.79,2.71,27134.0,77595078.8
000877,天山股份,5.32,2.7,162737.0,86639948.48
600284,浦东建设,6.09,2.7,117250.0,71169871.0
300221,银禧科技,6.48,2.69,334879.0,217137169.0
600360,ST华微,4.98,2.68,334071.0,166724368.0
688728,格科微,13.83,2.67,178860.0,252527061.0
300639,凯普生物,5.77,2.67,106321.0,60223265.46
603289,泰瑞机器,8.85,2.67,82768.0,72766483.0
300226,上海钢联,24.28,2.66,283875.0,698046910.03
000571,新大洲A,3.48,2.65,242204.0,85206894.96
300669,沪宁股份,21.3,2.65,17820.0,37554641.0
603281,江瀚新材,24.43,2.65,20910.0,50902628.0
002078,太阳纸业,13.97,2.65,230359.0,321253729.47
600350,山东高速,10.09,2.64,96140.0,96538304.0
000708,中信特钢,11.65,2.64,231926.0,269547121.66
601988,中国银行,5.45,2.64,2312123.0,1256335259.0
601991,大唐发电,2.74,2.62,1211568.0,333256423.0
688373,盟科药业-U,4.74,2.6,48032.0,22722968.0
600731,湖南海利,5.93,2.6,68993.0,41092518.0
600812,华北制药,5.54,2.59,347833.0,193467132.0
300724,捷佳伟创,64.32,2.58,155497.0,1008485389.46
600674,川投能源,15.89,2.58,271547.0,429466496.0
688309,恒誉环保,13.15,2.57,7770.0,10249114.0
603341,龙旗科技,44.7,2.57,66347.0,297929724.0
